메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,주재료 이름,조리시간
키위드레싱과콘샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['양상추 1/2통', '양배추 1/4통', '토마토 1개', '치커리 약간', '스위트콘 약간', '적채 1/4통']",20
토마토샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,['토마토 2개'],20
해산물모듬샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['새우(중하) 8마리', '오징어 1마리', '치커리 약간', '양상추 약간']",30
흑미 샐러드,"['나물', '생채', '샐러드']",서양,반찬,매우 쉬움,"['샐러드용 야채(로즈', '비타민', '비트잎) 100g', '흑미 100g', '백미 100g']",20
오이피클,"['밑반찬', '김치']",서양,반찬,쉬움,"['오이 4개', '양파 1/2개', '물 5컵']",60
채소피클,"['밑반찬', '김치']",서양,반찬,매우 쉬움,"['미니파프리카 1팩', '오이 2개', '당근 1/2개']",20
가리비그라탕,['양식'],서양,메인요리,매우 쉬움,['가리비(껍질이 있는것) 10개'],20
까나페,['양식'],서양,메인요리,매우 쉬움,"['식빵 2쪽', '비스켓 8개']",30
새우스크램블,['양식'],서양,메인요리,매우 쉬움,"['새우 60g', '계란 2개']",20
스크램블드에그,['양식'],서양,메인요리,매우 쉬움,"['계란 2개', '베이컨 3장']",20
오믈렛,['양식'],서양,메인요리,매우 쉬움,['계란 4개'],20
오븐에 구운 브리치즈,['양식'],서양,메인요리,매우 쉬움,"['브리치즈 2개', '꿀 1큰술']",30
